"","year","region","population","education_level"
"1",2008,"Akaa",16837,284
"2",2008,"Alajärvi",10634,253
"3",2008,"Alavieska",2759,246
"4",2008,"Alavus",12706,244
"5",2008,"Asikkala",8604,278
"6",2008,"Askola",4761,270
"7",2008,"Aura",3852,277
"8",2008,"Brändö",518,258
"9",2008,"Eckerö",921,218
"10",2008,"Enonkoski",1652,228
"11",2008,"Enontekiö",1915,249
"12",2008,"Espoo",241565,448
"13",2008,"Eura",12576,244
"14",2008,"Eurajoki",9188,278
"15",2008,"Evijärvi",2780,228
"16",2008,"Finström",2483,237
"17",2008,"Forssa",17870,261
"18",2008,"Föglö",576,215
"19",2008,"Geta",456,181
"20",2008,"Haapajärvi",7771,252
"21",2008,"Haapavesi",7493,264
"22",2008,"Hailuoto",1028,289
"23",2008,"Halsua",1351,214
"24",2008,"Hamina",21570,278
"25",2008,"Hammarland",1440,224
"26",2008,"Hankasalmi",5526,240
"27",2008,"Hanko",9657,240
"28",2008,"Harjavalta",7580,262
"29",2008,"Hartola",3466,210
"30",2008,"Hattula",9596,321
"31",2008,"Hausjärvi",8647,286
"32",2008,"Heinola",20545,271
"33",2008,"Heinävesi",4065,220
"34",2008,"Helsinki",574564,397
"35",2008,"Hirvensalmi",2489,214
"36",2008,"Hollola",23883,313
"37",2008,"Honkajoki",1918,211
"38",2008,"Huittinen",10703,259
"39",2008,"Humppila",2537,230
"40",2008,"Hyrynsalmi",2877,209
"41",2008,"Hyvinkää",44987,319
"42",2008,"Hämeenkyrö",10327,278
"43",2008,"Hämeenlinna",66106,323
"44",2008,"Ii",9177,277
"45",2008,"Iisalmi",22289,291
"46",2008,"Iitti",7093,261
"47",2008,"Ikaalinen",7453,270
"48",2008,"Ilmajoki",11680,285
"49",2008,"Ilomantsi",6052,218
"50",2008,"Imatra",28899,269
"51",2008,"Inari",6866,272
"52",2008,"Inkoo",5575,331
"53",2008,"Isojoki",2458,193
"54",2008,"Isokyrö",4991,269
"55",2008,"Janakkala",16589,287
"56",2008,"Joensuu",72433,344
"57",2008,"Jokioinen",5767,289
"58",2008,"Jomala",3917,283
"59",2008,"Joroinen",5476,272
"60",2008,"Joutsa",5122,225
"61",2008,"Juuka",5762,218
"62",2008,"Juupajoki",2173,229
"63",2008,"Juva",7135,240
"64",2008,"Jyväskylä",128028,378
"65",2008,"Jämijärvi",2103,226
"66",2008,"Jämsä",23167,274
"67",2008,"Järvenpää",38288,351
"68",2008,"Kaarina",30347,365
"69",2008,"Kaavi",3457,208
"70",2008,"Kajaani",38132,324
"71",2008,"Kalajoki",12535,264
"72",2008,"Kangasala",29287,352
"73",2008,"Kangasniemi",6091,230
"74",2008,"Kankaanpää",12314,274
"75",2008,"Kannonkoski",1609,201
"76",2008,"Kannus",5745,261
"77",2008,"Karijoki",1574,198
"78",2008,"Karkkila",9076,247
"79",2008,"Karstula",4618,230
"80",2008,"Karvia",2728,202
"81",2008,"Kaskinen",1478,263
"82",2008,"Kauhajoki",14379,256
"83",2008,"Kauhava",17773,263
"84",2008,"Kauniainen",8545,567
"85",2008,"Kaustinen",4313,265
"86",2008,"Keitele",2618,223
"87",2008,"Kemi",22594,284
"88",2008,"Kemijärvi",8658,249
"89",2008,"Keminmaa",8636,316
"90",2008,"Kemiönsaari",7303,249
"91",2008,"Kempele",15320,379
"92",2008,"Kerava",33546,340
"93",2008,"Keuruu",10896,266
"94",2008,"Kihniö",2223,213
"95",2008,"Kinnula",1852,205
"96",2008,"Kirkkonummi",35981,396
"97",2008,"Kitee",12010,250
"98",2008,"Kittilä",6039,269
"99",2008,"Kiuruvesi",9400,236
"100",2008,"Kivijärvi",1363,183
"101",2008,"Kokemäki",8148,250
"102",2008,"Kokkola",45644,300
"103",2008,"Kolari",3860,257
"104",2008,"Konnevesi",2978,232
"105",2008,"Kontiolahti",13490,352
"106",2008,"Korsnäs",2219,250
"107",2008,"Koski",2470,235
"108",2008,"Kotka",54694,299
"109",2008,"Kouvola",88436,288
"110",2008,"Kristiinankaupunki",7262,241
"111",2008,"Kruunupyy",6716,261
"112",2008,"Kuhmo",9798,242
"113",2008,"Kuhmoinen",2639,222
"114",2008,"Kumlinge",360,230
"115",2008,"Kuopio",111218,344
"116",2008,"Kuortane",4019,248
"117",2008,"Kurikka",23092,249
"118",2008,"Kustavi",910,229
"119",2008,"Kuusamo",16775,277
"120",2008,"Kyyjärvi",1558,197
"121",2008,"Kärkölä",4927,241
"122",2008,"Kärsämäki",2970,229
"123",2008,"Kökar",262,211
"124",2008,"Lahti",115124,303
"125",2008,"Laihia",7692,289
"126",2008,"Laitila",8470,253
"127",2008,"Lapinjärvi",2934,237
"128",2008,"Lapinlahti",10555,249
"129",2008,"Lappajärvi",3517,257
"130",2008,"Lappeenranta",71740,314
"131",2008,"Lapua",14234,290
"132",2008,"Laukaa",17763,307
"133",2008,"Lemi",3059,268
"134",2008,"Lemland",1783,289
"135",2008,"Lempäälä",19753,367
"136",2008,"Leppävirta",10760,272
"137",2008,"Lestijärvi",881,228
"138",2008,"Lieksa",12918,233
"139",2008,"Lieto",17713,341
"140",2008,"Liminka",8576,372
"141",2008,"Liperi",12056,302
"142",2008,"Lohja",46627,295
"143",2008,"Loimaa",17102,266
"144",2008,"Loppi",8146,265
"145",2008,"Loviisa",15694,257
"146",2008,"Luhanka",837,195
"147",2008,"Lumijoki",1941,267
"148",2008,"Lumparland",387,261
"149",2008,"Luoto",4651,287
"150",2008,"Luumäki",5179,243
"151",2008,"Maalahti",5549,275
"152",2008,"Maarianhamina",11005,312
"153",2008,"Marttila",2030,244
"154",2008,"Masku",9383,338
"155",2008,"Merijärvi",1187,210
"156",2008,"Merikarvia",3437,214
"157",2008,"Miehikkälä",2297,193
"158",2008,"Mikkeli",54440,314
"159",2008,"Muhos",8751,309
"160",2008,"Multia",1953,227
"161",2008,"Muonio",2360,278
"162",2008,"Mustasaari",18112,350
"163",2008,"Muurame",9178,376
"164",2008,"Mynämäki",8026,267
"165",2008,"Myrskylä",2010,241
"166",2008,"Mäntsälä",19432,291
"167",2008,"Mänttä-Vilppula",11645,250
"168",2008,"Mäntyharju",6570,233
"169",2008,"Naantali",18391,342
"170",2008,"Nakkila",5782,268
"171",2008,"Nivala",10984,267
"172",2008,"Nokia",30951,312
"173",2008,"Nousiainen",4809,293
"174",2008,"Nurmes",8674,238
"175",2008,"Nurmijärvi",39018,344
"176",2008,"Närpiö",9505,244
"177",2008,"Orimattila",16276,256
"178",2008,"Oripää",1393,221
"179",2008,"Orivesi",9632,270
"180",2008,"Oulainen",8047,276
"181",2008,"Oulu",179901,389
"182",2008,"Outokumpu",7551,253
"183",2008,"Padasjoki",3513,212
"184",2008,"Paimio",10145,321
"185",2008,"Paltamo",3998,239
"186",2008,"Parainen",15405,329
"187",2008,"Parikkala",6007,226
"188",2008,"Parkano",7115,242
"189",2008,"Pedersören kunta",10757,283
"190",2008,"Pelkosenniemi",1046,244
"191",2008,"Pello",4114,235
"192",2008,"Perho",3020,224
"193",2008,"Pertunmaa",1979,204
"194",2008,"Petäjävesi",3887,278
"195",2008,"Pieksämäki",20304,267
"196",2008,"Pielavesi",5249,221
"197",2008,"Pietarsaari",19667,292
"198",2008,"Pihtipudas",4700,214
"199",2008,"Pirkkala",16154,400
"200",2008,"Polvijärvi",4843,227
"201",2008,"Pomarkku",2512,228
"202",2008,"Pori",84614,298
"203",2008,"Pornainen",4975,301
"204",2008,"Porvoo",48227,326
"205",2008,"Posio",4020,218
"206",2008,"Pudasjärvi",9031,225
"207",2008,"Pukkila",2025,253
"208",2008,"Punkalaidun",3373,233
"209",2008,"Puolanka",3183,215
"210",2008,"Puumala",2645,228
"211",2008,"Pyhtää",5123,280
"212",2008,"Pyhäjoki",3353,259
"213",2008,"Pyhäjärvi",6081,230
"214",2008,"Pyhäntä",1701,246
"215",2008,"Pyhäranta",2236,248
"216",2008,"Pälkäne",6989,271
"217",2008,"Pöytyä",8397,251
"218",2008,"Raahe",25809,288
"219",2008,"Raasepori",28834,284
"220",2008,"Raisio",24147,314
"221",2008,"Rantasalmi",4145,246
"222",2008,"Ranua",4428,232
"223",2008,"Rauma",39747,305
"224",2008,"Rautalampi",3538,234
"225",2008,"Rautavaara",1949,176
"226",2008,"Rautjärvi",4096,217
"227",2008,"Reisjärvi",2990,234
"228",2008,"Riihimäki",28536,307
"229",2008,"Ristijärvi",1548,233
"230",2008,"Rovaniemi",59353,345
"231",2008,"Ruokolahti",5730,248
"232",2008,"Ruovesi",5132,240
"233",2008,"Rusko",5758,324
"234",2008,"Rääkkylä",2671,219
"235",2008,"Saarijärvi",10730,247
"236",2008,"Salla",4308,217
"237",2008,"Salo",54777,281
"238",2008,"Saltvik",1753,237
"239",2008,"Sastamala",25813,264
"240",2008,"Sauvo",3027,292
"241",2008,"Savitaipale",4023,234
"242",2008,"Savonlinna",37409,284
"243",2008,"Savukoski",1216,247
"244",2008,"Seinäjoki",56211,338
"245",2008,"Sievi",5307,258
"246",2008,"Siikainen",1677,201
"247",2008,"Siikajoki",5759,253
"248",2008,"Siikalatva",6394,229
"249",2008,"Siilinjärvi",20769,344
"250",2008,"Simo",3546,254
"251",2008,"Sipoo",19886,320
"252",2008,"Siuntio",5871,352
"253",2008,"Sodankylä",8872,267
