ts,year,month,day,dp,rmm,wdir,ws,t,rh,p
2014-01-01,2014,1,1,0.7526754690757457,1.640000000000001,158.0,4.61702571230021,3.05357887421823,84.87491313412092,1011.9901320361296
2014-01-02,2014,1,2,-2.2381944444444573,0.6000000000000004,118.0,3.627777777777778,0.4078472222222211,81.09583333333333,1012.2958333333349
2014-01-03,2014,1,3,-1.4593055555555527,0.5000000000000002,141.0,3.3281944444444385,1.0606944444444493,82.28611111111111,1008.8503472222206
2014-01-04,2014,1,4,0.3417361111111121,3.6999999999999966,219.0,4.28805555555555,1.7476388888888887,90.35138888888889,1001.7586111111136
2014-01-05,2014,1,5,2.8411111111111027,0.8000000000000004,90.0,2.4786111111111104,4.128194444444437,91.43263888888889,1003.1302083333369
2014-01-06,2014,1,6,0.509930555555556,0.9000000000000006,146.0,3.740624999999999,1.6868055555555543,91.88472222222222,1003.9509027777823
2014-01-07,2014,1,7,1.8627777777777876,10.769999999999996,259.0,3.294305555555547,2.9284722222222253,92.84305555555555,998.4985416666666
2014-01-08,2014,1,8,3.7473611111110805,2.439999999999994,214.0,3.3897222222222183,4.758680555555566,93.27777777777777,994.2368055555502
2014-01-09,2014,1,9,2.7474305555555634,1.990000000000001,90.0,2.444791666666665,4.400625000000003,89.27083333333333,991.9824305555547
2014-01-10,2014,1,10,0.1130555555555591,11.67999999999998,349.0,4.752708333333331,1.356388888888889,91.09861111111111,981.3111111111124
2014-01-11,2014,1,11,-5.206458333333346,1.3900000000000006,45.0,3.000000000000004,-3.6413888888889003,84.51875,992.1324305555495
2014-01-12,2014,1,12,-9.559027777777755,0.33000000000000007,343.0,3.3293055555555573,-7.801458333333309,79.54513888888889,995.7530555555536
2014-01-13,2014,1,13,-12.85145833333333,0.13999999999999999,332.0,3.800902777777774,-10.851388888888858,75.23402777777778,1004.7345833333306
2014-01-14,2014,1,14,-15.186666666666664,0.12999999999999998,6.0,2.0574305555555537,-14.036180555555525,78.43958333333333,1011.2465277777737
2014-01-15,2014,1,15,-12.415763888888824,0.6600000000000004,68.0,2.359722222222223,-11.364097222222163,81.41875,1013.3979166666668
2014-01-16,2014,1,16,-13.0351388888889,0.23000000000000007,23.0,3.3299305555555594,-11.645694444444418,78.81319444444445,1015.2312500000024
2014-01-17,2014,1,17,-14.43479166666661,0.23000000000000007,17.0,2.604166666666665,-13.28097222222222,79.06527777777778,1016.4515277777756
2014-01-18,2014,1,18,-14.829444444444466,0.35000000000000014,6.0,2.6052083333333376,-13.467152777777766,77.44722222222222,1021.0986805555558
2014-01-19,2014,1,19,-14.010763888888874,0.23000000000000007,17.0,2.103333333333336,-12.878263888888927,79.54930555555555,1028.8365972222334
2014-01-20,2014,1,20,-13.180416666666666,0.6300000000000003,360.0,2.132152777777779,-11.83298611111109,78.89722222222223,1028.7361111111154
2014-01-21,2014,1,21,-11.696458333333323,0.34000000000000014,349.0,1.656875,-10.76756944444443,82.89722222222223,1024.0152083333364
2014-01-22,2014,1,22,-15.40701388888891,0.2800000000000001,360.0,2.8827777777777834,-14.390069444444457,79.19097222222223,1021.9112499999967
2014-01-23,2014,1,23,-16.017986111111156,0.37000000000000016,51.0,2.099791666666668,-15.308611111111144,80.61458333333333,1026.129027777776
2014-01-24,2014,1,24,-15.923680555555567,0.4300000000000002,309.0,1.6525000000000019,-14.884027777777815,78.55625,1028.6785416666717
2014-01-25,2014,1,25,-9.696597222222202,0.4000000000000002,225.0,2.3929861111111097,-7.312013888888878,75.66944444444445,1027.3471527777776
2014-01-26,2014,1,26,-9.348055555555545,0.21000000000000005,84.0,1.9796527777777777,-7.719027777777778,80.40763888888888,1023.6088194444471
2014-01-27,2014,1,27,-9.361041666666685,0.4000000000000002,96.0,5.00159722222222,-8.029305555555522,82.27361111111111,1020.5417361111092
2014-01-28,2014,1,28,-9.204513888888885,0.5600000000000003,135.0,6.017499999999992,-7.690416666666642,81.31180555555555,1026.9793749999985
2014-01-29,2014,1,29,-12.11347222222225,0.35000000000000014,135.0,5.620972222222219,-8.277291666666649,65.79930555555555,1033.5209027777737
2014-01-30,2014,1,30,-13.0102777777778,0.4400000000000002,152.0,4.539930555555559,-10.281944444444418,71.15138888888889,1034.3155555555531
2014-01-31,2014,1,31,-12.310552061495466,2.8200000000000007,174.0,5.682809224318653,-9.193501048217996,69.55415793151643,1028.1070580013975
2014-02-01,2014,2,1,-7.777592205984722,9.959999999999955,124.0,5.513500347947103,-6.364648573416828,83.25330549756437,1014.0991649269325
2014-02-02,2014,2,2,-7.5808123249299575,4.369999999999991,219.0,3.957142857142847,-3.2987394957982987,67.73319327731092,1013.0142156862726
2014-02-03,2014,2,3,-1.5145138888888905,4.2199999999999935,231.0,3.5013194444444418,-0.9972916666666743,94.95,1015.7093055555579
2014-02-04,2014,2,4,-1.1425694444444372,1.440000000000001,118.0,2.5068055555555553,-0.477013888888892,94.28125,1017.3627777777748
2014-02-05,2014,2,5,-4.618888888888904,1.660000000000001,96.0,2.623819444444446,-3.2181249999999983,86.23333333333333,1008.3406250000032
2014-02-06,2014,2,6,-6.220000000000004,3.499999999999998,84.0,1.751736111111114,-4.989513888888882,85.82777777777778,999.7083333333347
